mile,lat,lon,nearest_main_m,main_Trail_Name,main_Corridor,main_Trail_ID,main_LandUnit_N,main_Manager_Na,main_Eng_Seg,main_Start_Seg,nearest_alt_m,alt_Trail_Name,alt_Corridor,alt_Trail_ID,alt_LandUnit_N,alt_Manager_Na,alt_Eng_Seg,alt_Start_Seg,canonical_section,segment,route
268.000,27.738759,-81.183213,1.9,Kicco,Main,T480,Kicco WMA,SFWMD,Leave Kicco Rd north of Ice Cream Slough,Leave Kicco Rd,21864.9,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
269.000,27.750062,-81.183615,1.6,Kicco,Main,T529,Kicco WMA,SFWMD,Leave Kicco Rd north of Ice Cream Slough,Leave Kicco Rd,20669.5,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
270.000,27.761007,-81.185772,7.3,Kicco,Main,T529,Kicco WMA,SFWMD,Leave Kicco Rd north of Ice Cream Slough,Leave Kicco Rd,19573.6,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
271.000,27.767333,-81.197221,12.7,Kicco access road,Main,T31,Kicco access road Connector,Roadwalk,SFWMD/River Ranch boundary,Join Kicco access road at trailhead,19305.6,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
272.000,27.778150,-81.207291,7.5,River Ranch Blvd,Main,T121,River Ranch Blvd Connector,Roadwalk,Jct Kicco Trailhead,River Ranch Blvd at stile,18618.2,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
273.000,27.788715,-81.207493,61.6,River Ranch Blvd,Main,T329,Kissimmee River,SFWMD,Join SR 60,Jct Kicco Trailhead,17583.9,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
274.000,27.791129,-81.198918,27.8,River Ranch Blvd,Main,T329,Kissimmee River,SFWMD,Join SR 60,Jct Kicco Trailhead,16959.4,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
275.000,27.804189,-81.205921,4.6,River Ranch Blvd,Main,T329,Kissimmee River,SFWMD,Join SR 60,Jct Kicco Trailhead,16009.3,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
276.000,27.804490,-81.190872,7.8,SR 60,Main,T52,SR 60 Connector,Roadwalk, SR 60/Three Lakes Access Rd,Join SR 60,15277.1,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
277.000,27.800992,-81.175350,43.9,SR 60,Main,T52,SR 60 Connector,Roadwalk, SR 60/Three Lakes Access Rd,Join SR 60,15037.7,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
278.000,27.794262,-81.160865,41.6,SR 60,Main,T52,SR 60 Connector,Roadwalk, SR 60/Three Lakes Access Rd,Join SR 60,15334.3,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
279.000,27.787529,-81.146383,40.8,SR 60,Main,T52,SR 60 Connector,Roadwalk, SR 60/Three Lakes Access Rd,Join SR 60,15790.6,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
280.000,27.780792,-81.131904,14.6,SR 60,Main,T52,SR 60 Connector,Roadwalk, SR 60/Three Lakes Access Rd,Join SR 60,16392.9,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
281.000,27.787305,-81.126503,2.0,Three Lakes Access Rd,Main,T597,SR 60 Connector,Roadwalk,Leave Three Lakes Access road,SR 60/Three Lakes Access road,15648.5,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
282.000,27.801772,-81.126638,10.3,Three Lakes Access Rd,Main,T597,SR 60 Connector,Roadwalk,Leave Three Lakes Access road,SR 60/Three Lakes Access road,14040.7,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
283.000,27.814053,-81.127150,0.1,Three Lakes South,Main,T719,Three Lakes WMA,FFWCC,Cross CR 523 Join North Three Lakes,Three Lakes Access road,12677.3,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
284.000,27.826519,-81.131403,0.1,Three Lakes South,Main,T719,Three Lakes WMA,FFWCC,Cross CR 523 Join North Three Lakes,Three Lakes Access road,11315.6,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
285.000,27.839113,-81.136441,0.3,Three Lakes South,Main,T719,Three Lakes WMA,FFWCC,Cross CR 523 Join North Three Lakes,Three Lakes Access road,9974.1,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
286.000,27.851397,-81.137165,0.6,Three Lakes South,Main,T719,Three Lakes WMA,FFWCC,Cross CR 523 Join North Three Lakes,Three Lakes Access road,8633.9,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
287.000,27.861582,-81.143263,0.1,Three Lakes South,Main,T719,Three Lakes WMA,FFWCC,Cross CR 523 Join North Three Lakes,Three Lakes Access road,7654.1,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
288.000,27.869849,-81.152732,0.2,Three Lakes South,Main,T719,Three Lakes WMA,FFWCC,Cross CR 523 Join North Three Lakes,Three Lakes Access road,7103.7,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
289.000,27.869625,-81.166076,3.1,Three Lakes South,Main,T719,Three Lakes WMA,FFWCC,Cross CR 523 Join North Three Lakes,Three Lakes Access road,7760.2,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
290.000,27.876035,-81.173168,0.5,Three Lakes South,Main,T719,Three Lakes WMA,FFWCC,Cross CR 523 Join North Three Lakes,Three Lakes Access road,7608.4,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
291.000,27.886904,-81.174817,1.0,Three Lakes South,Main,T719,Three Lakes WMA,FFWCC,Cross CR 523 Join North Three Lakes,Three Lakes Access road,6856.4,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
292.000,27.885783,-81.159356,3.0,Three Lakes South,Main,T719,Three Lakes WMA,FFWCC,Cross CR 523 Join North Three Lakes,Three Lakes Access road,5911.0,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
293.000,27.893456,-81.156356,13.4,Three Lakes South,Main,T740,Three Lakes WMA,FFWCC,Godwin Hammock Camp,Three Lakes Access road,5062.3,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
294.000,27.905459,-81.156401,1.4,Three Lakes South,Main,T740,Three Lakes WMA,FFWCC,Godwin Hammock Camp,Three Lakes Access road,4145.3,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
295.000,27.907606,-81.144037,0.9,Three Lakes South,Main,T740,Three Lakes WMA,FFWCC,Godwin Hammock Camp,Three Lakes Access road,3081.7,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
296.000,27.906649,-81.130353,0.7,Three Lakes South,Main,T742,Three Lakes WMA,FFWCC,Godwin Hammock Camp,Three Lakes Access Road,2487.3,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
297.000,27.913974,-81.125618,0.4,Three Lakes South,Main,T742,Three Lakes WMA,FFWCC,Godwin Hammock Camp,Three Lakes Access Road,1583.8,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
298.000,27.926852,-81.125890,0.1,Three Lakes South,Main,T742,Three Lakes WMA,FFWCC,Godwin Hammock Camp,Three Lakes Access Road,329.5,CR 523,Western,T215,CR 523 Connector,Roadwalk,Join Old Canoe Creek Rd,Join CR 523,,,
299.000,27.917168,-81.126638,78.0,Three Lakes South,Main,T742,Three Lakes WMA,FFWCC,Godwin Hammock Camp,Three Lakes Access Road,1261.9,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
300.000,27.903359,-81.131539,359.9,Three Lakes South,Main,T742,Three Lakes WMA,FFWCC,Godwin Hammock Camp,Three Lakes Access Road,2871.2,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
301.000,27.889550,-81.136441,1661.0,Three Lakes South,Main,T739,Three Lakes WMA,FFWCC,Godwin Hammock Camp,Three Lakes Access road,4480.5,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
302.000,27.875741,-81.141342,946.9,Three Lakes South,Main,T719,Three Lakes WMA,FFWCC,Cross CR 523 Join North Three Lakes,Three Lakes Access road,6089.8,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
303.000,27.861932,-81.146243,278.4,Three Lakes South,Main,T719,Three Lakes WMA,FFWCC,Cross CR 523 Join North Three Lakes,Three Lakes Access road,7699.1,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
304.000,27.848123,-81.151144,1263.5,Three Lakes South,Main,T719,Three Lakes WMA,FFWCC,Cross CR 523 Join North Three Lakes,Three Lakes Access road,9308.4,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
305.000,27.834314,-81.156045,1971.6,Three Lakes South,Main,T719,Three Lakes WMA,FFWCC,Cross CR 523 Join North Three Lakes,Three Lakes Access road,10917.7,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
306.000,27.820505,-81.160947,2581.0,SR 60,Main,T52,SR 60 Connector,Roadwalk, SR 60/Three Lakes Access Rd,Join SR 60,12527.1,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
307.000,27.806696,-81.165848,996.8,SR 60,Main,T52,SR 60 Connector,Roadwalk, SR 60/Three Lakes Access Rd,Join SR 60,14136.5,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
308.000,27.792887,-81.170749,586.6,SR 60,Main,T52,SR 60 Connector,Roadwalk, SR 60/Three Lakes Access Rd,Join SR 60,15745.9,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
309.000,27.779078,-81.175650,2169.9,SR 60,Main,T52,SR 60 Connector,Roadwalk, SR 60/Three Lakes Access Rd,Join SR 60,17355.3,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
310.000,27.765269,-81.180551,636.5,Kicco,Main,T529,Kicco WMA,SFWMD,Leave Kicco Rd north of Ice Cream Slough,Leave Kicco Rd,18964.7,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
311.000,27.752296,-81.185908,18.7,Long Hammock Campsite spur trail,Main,T530,Kicco WMA,SFWMD,Long Hammock Campsite,Junction with FNST,20499.0,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
312.000,27.739197,-81.178954,326.5,Kicco,Main,T480,Kicco WMA,SFWMD,Leave Kicco Rd north of Ice Cream Slough,Leave Kicco Rd,21707.8,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
313.000,27.726098,-81.172001,386.4,Kicco,Main,T51,Kicco WMA,SFWMD,Leave Kicco Rd,Join Kicco Rd,22965.8,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
314.000,27.712999,-81.165047,711.6,Kicco,Main,T51,Kicco WMA,SFWMD,Leave Kicco Rd,Join Kicco Rd,24265.2,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
315.000,27.699900,-81.158093,543.7,Kicco,Main,T51,Kicco WMA,SFWMD,Leave Kicco Rd,Join Kicco Rd,25599.8,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
316.000,27.688561,-81.149053,258.8,Kicco,Main,T614,Kicco WMA,SFWMD,Join Kicco Trail,Leave Kissimmee River Lock road,26749.1,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
317.000,27.679447,-81.136359,1117.3,Kicco,Main,T614,Kicco WMA,SFWMD,Join Kicco Trail,Leave Kissimmee River Lock road,27669.7,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
318.000,27.670333,-81.123664,793.8,Kissimmee Prairie Preserve State Park,Main,T513,Kissimmee Prairie Preserve State Park,SFWMD,Lock Access Road S-65A,Kissimmee Prairie State Preserve,28651.1,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
319.000,27.661219,-81.110969,1259.7,Kissimmee Prairie Preserve State Park,Main,T513,Kissimmee Prairie Preserve State Park,SFWMD,Lock Access Road S-65A,Kissimmee Prairie State Preserve,29687.2,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
320.000,27.652105,-81.098274,1075.9,Kissimmee Prairie Preserve State Park,Main,T513,Kissimmee Prairie Preserve State Park,SFWMD,Lock Access Road S-65A,Kissimmee Prairie State Preserve,30772.5,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
321.000,27.642992,-81.085580,44.0,Kissimmee Prairie Preserve State Park,Main,T513,Kissimmee Prairie Preserve State Park,SFWMD,Lock Access Road S-65A,Kissimmee Prairie State Preserve,31902.0,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
322.000,27.630340,-81.092323,1082.2,Kissimmee Prairie Preserve,Main,T477,Kissimmee Prairie Preserve State Park,SFWMD,Enter Kicco Trail,Leave No Name and Prescott Trail,33233.5,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
323.000,27.617567,-81.100004,2444.3,Kissimmee Prairie Preserve,Main,T477,Kissimmee Prairie Preserve State Park,SFWMD,Enter Kicco Trail,Leave No Name and Prescott Trail,34591.0,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
324.000,27.604794,-81.107684,1857.8,Kissimmee Prairie Preserve,Main,T475,Kissimmee Prairie Preserve State Park,SFWMD,Enter Kicco Trail,Leave No Name and Prescott Trail,35969.3,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
325.000,27.592021,-81.115365,438.2,Kissimmee Prairie Preserve,Main,T475,Kissimmee Prairie Preserve State Park,SFWMD,Enter Kicco Trail,Leave No Name and Prescott Trail,37366.0,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
326.000,27.579248,-81.123046,1109.7,Kissimmee Prairie Preserve,Main,T474,Kissimmee Prairie Preserve State Park,SFWMD,Enter Kicco Trail,Leave No Name and Prescott Trail,38779.1,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
327.000,27.568000,-81.131329,0.5,Cowboy Crossing,Main,T512,Kissimmee Prairie Preserve State Park,SFWMD,Cowboy Crossing campsite,Leave trail,40038.7,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
328.000,27.554862,-81.135308,599.1,Kissimmee Prairie Preserve,Main,T473,Kissimmee Prairie Preserve State Park,SFWMD,Enter Kicco Trail,Leave No Name and Prescott Trail,41509.1,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
329.000,27.540602,-81.138101,2205.0,Kissimmee Prairie Preserve,Main,T473,Kissimmee Prairie Preserve State Park,SFWMD,Enter Kicco Trail,Leave No Name and Prescott Trail,43102.7,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
330.000,27.526343,-81.140895,3813.8,Kissimmee Prairie Preserve,Main,T473,Kissimmee Prairie Preserve State Park,SFWMD,Enter Kicco Trail,Leave No Name and Prescott Trail,44697.5,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
331.000,27.512083,-81.143688,4076.3,Starvation Slough,Main,T643,Kissimmee River,SFWMD,Enter No Name and Prescott Trail,Leave Micco Roadwalk,46293.3,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
332.000,27.497824,-81.146482,2839.0,Starvation Slough,Main,T643,Kissimmee River,SFWMD,Enter No Name and Prescott Trail,Leave Micco Roadwalk,45729.2,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
333.000,27.483564,-81.149276,1408.9,Starvation Slough,Main,T643,Kissimmee River,SFWMD,Enter No Name and Prescott Trail,Leave Micco Roadwalk,44771.3,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
334.000,27.469304,-81.152069,137.5,Starvation Slough,Main,T471,Kissimmee River,SFWMD,Enter No Name and Prescott Trail,Leave Micco Roadwalk,43850.9,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
335.000,27.458082,-81.144648,231.3,Oak Creek to Starvation Slough,Main,,Kissimmee River,SFWMD,Starvation Slough,Oak Creek Road,42459.9,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
336.000,27.447199,-81.133901,31.6,MICCO,Main,T153,Kissimmee River,SFWMD,End at Oak Creek Trailhead,Leave Chandler Slough North,40858.3,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
337.000,27.436315,-81.123155,1169.8,MICCO,Main,T153,Kissimmee River,SFWMD,End at Oak Creek Trailhead,Leave Chandler Slough North,39257.3,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
338.000,27.425432,-81.112408,1461.7,MICCO,Main,T153,Kissimmee River,SFWMD,End at Oak Creek Trailhead,Leave Chandler Slough North,37656.8,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
339.000,27.414548,-81.101661,983.5,MICCO,Main,T153,Kissimmee River,SFWMD,End at Oak Creek Trailhead,Leave Chandler Slough North,36057.0,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
340.000,27.403665,-81.090914,875.0,MICCO,Main,T153,Kissimmee River,SFWMD,End at Oak Creek Trailhead,Leave Chandler Slough North,34458.0,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
341.000,27.392782,-81.080168,140.4,MICCO,Main,T153,Kissimmee River,SFWMD,End at Oak Creek Trailhead,Leave Chandler Slough North,32859.9,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
342.000,27.381898,-81.069421,1117.8,MICCO,Main,T153,Kissimmee River,SFWMD,End at Oak Creek Trailhead,Leave Chandler Slough North,31262.8,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
343.000,27.371015,-81.058674,1846.6,MICCO,Main,T153,Kissimmee River,SFWMD,End at Oak Creek Trailhead,Leave Chandler Slough North,29667.0,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
344.000,27.360131,-81.047927,2353.5,Chandler South Campsite spur trail,Main,T148,Chandler Slough WMA,SFWMD,Kissimmee River,Junction with FT,28072.7,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
345.000,27.349248,-81.037181,743.8,Chandler South Campsite spur trail,Main,T148,Chandler Slough WMA,SFWMD,Kissimmee River,Junction with FT,26480.1,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
346.000,27.339836,-81.025706,87.8,Chandler Slough East,Main,T124,Chandler Slough WMA,SFWMD,Join NW 144 Tr at Chandler East trailhead,Leave NW 144 Tr at Chandler East stile,24939.1,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
347.000,27.328857,-81.015091,638.8,South NW 144 Tr Roadwalk,Main,T592,NW 144 Tr Connector,Roadwalk,Leave NW 144 Tr at stile into Chandler Slough,Join NW 144 Tr at Yates Marsh trailhead,23352.7,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
348.000,27.317878,-81.004476,153.0,Yates Marsh,Main,T454,Yates Marsh WMA,SFWMD,Join NW 144 Tr,Leave CR 599 at NW 68 St,21769.4,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
349.000,27.318340,-81.002633,271.6,Yates Marsh,Main,T454,Yates Marsh WMA,SFWMD,Join NW 144 Tr,Leave CR 599 at NW 68 St,21659.8,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
350.000,27.332165,-81.007497,1394.1,South NW 144 Tr Roadwalk,Main,T592,NW 144 Tr Connector,Roadwalk,Leave NW 144 Tr at stile into Chandler Slough,Join NW 144 Tr at Yates Marsh trailhead,23018.5,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
351.000,27.345990,-81.012361,876.2,Chandler Slough East,Main,T124,Chandler Slough WMA,SFWMD,Join NW 144 Tr at Chandler East trailhead,Leave NW 144 Tr at Chandler East stile,24407.7,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
352.000,27.359815,-81.017225,510.1,Chandler Slough East,Main,T124,Chandler Slough WMA,SFWMD,Join NW 144 Tr at Chandler East trailhead,Leave NW 144 Tr at Chandler East stile,25822.6,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
353.000,27.373640,-81.022089,490.6,Chandler Slough North,Main,T290,Chandler Slough WMA,SFWMD,Pass side trail to Micco Landing Trailhead,Leave US 98,27259.1,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
354.000,27.387465,-81.026953,578.8,Chandler Slough North,Main,T290,Chandler Slough WMA,SFWMD,Pass side trail to Micco Landing Trailhead,Leave US 98,28712.9,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
355.000,27.401291,-81.031817,1774.1,Chandler Slough North,Main,T290,Chandler Slough WMA,SFWMD,Pass side trail to Micco Landing Trailhead,Leave US 98,30182.6,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
356.000,27.415116,-81.036681,3296.5,Chandler Slough North,Main,T290,Chandler Slough WMA,SFWMD,Pass side trail to Micco Landing Trailhead,Leave US 98,31665.9,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
357.000,27.428941,-81.041545,4434.7,MICCO,Main,T153,Kissimmee River,SFWMD,End at Oak Creek Trailhead,Leave Chandler Slough North,33160.9,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
358.000,27.442766,-81.046409,5607.1,MICCO,Main,T153,Kissimmee River,SFWMD,End at Oak Creek Trailhead,Leave Chandler Slough North,34665.9,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
359.000,27.456591,-81.051273,6956.6,MICCO,Main,T153,Kissimmee River,SFWMD,End at Oak Creek Trailhead,Leave Chandler Slough North,36179.9,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
360.000,27.470416,-81.056137,7418.5,Micco Roadwalk,Main,T470,Kissimmee River Connector,Roadwalk,Starvation Slough,Micco Landing Trailhead,37701.8,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
361.000,27.484241,-81.061001,7566.7,Oak Creek to Starvation Slough,Main,,Kissimmee River,SFWMD,Starvation Slough,Oak Creek Road,39230.8,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
362.000,27.498066,-81.065865,8024.0,Oak Creek to Starvation Slough,Main,,Kissimmee River,SFWMD,Starvation Slough,Oak Creek Road,40765.7,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
363.000,27.511891,-81.070729,8035.3,Kissimmee Prairie Preserve,Main,T473,Kissimmee Prairie Preserve State Park,SFWMD,Enter Kicco Trail,Leave No Name and Prescott Trail,42306.2,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
364.000,27.525716,-81.075593,6563.9,Kissimmee Prairie Preserve,Main,T476,Kissimmee Prairie Preserve State Park,SFWMD,Enter Kicco Trail,Leave No Name and Prescott Trail,43851.6,Okeechobee East,Eastern,T580,Lake Okeechobee,ACoE,Cross SR 78/Jct E and W Okeechobee Loops,West Side of Taylor Creek Lock,,,
365.000,27.539541,-81.080457,5121.8,Kissimmee Prairie Preserve,Main,T476,Kissimmee Prairie Preserve State Park,SFWMD,Enter Kicco Trail,Leave No Name and Prescott Trail,43394.9,Three Lakes North,Eastern,T482,Three Lakes WMA,FFWCC,Cross SR 91,Cross CR 523,,,
